Feature 1,Feature 2,Oil_Type
22.305346,-1.8623841,SO
22.80246,-2.6296124,SO
25.152073,-2.7745762,SO
25.506893,-2.7884972,SO
25.779991,-3.3456066,SO
25.587645,-3.1281538,SO
26.41466,-3.4987547,SO
21.348022,0.062213834,SO
25.46591,-3.5083451,SO
25.900187,-2.8944724,SO
21.26257,0.29766008,SO
21.284325,0.23073776,SO
21.271515,0.24246657,SO
21.320484,0.1793462,SO
21.27673,0.19273421,SO
21.336996,0.091805466,SO
21.347937,0.062216792,SO
21.448673,-0.098803826,SO
21.751646,-0.64250463,SO
21.902388,-0.81733024,SO
21.121132,-2.188305,SO
27.207989,-4.2472,SO
21.153666,-2.2517216,SO
27.073011,-4.2963696,SO
21.29187,-2.3553615,SO
27.013292,-4.3543077,SO
20.7982,-2.7569509,SO
27.199364,-4.587908,SO
21.154568,-2.4634807,SO
27.243937,-5.024555,SO
21.582882,-2.3014274,SO
27.033426,-4.7850375,SO
21.460035,-2.3215725,SO
27.139952,-5.0915275,SO
21.816788,-2.2581947,SO
27.34493,-4.8836656,SO
21.745132,-2.261676,SO
26.802053,-5.118691,SO
21.647823,-2.2911024,SO
27.626925,-5.235324,SO
24.490494,-4.503919,SO
26.94817,-6.3501816,SO
25.672117,-5.934481,SO
26.860394,-6.525778,SO
26.263655,-5.2638106,SO
27.157675,-6.5396886,SO
25.138609,-5.559784,SO
26.762346,-7.371609,SO
26.037546,-5.87166,SO
27.315445,-6.8941016,SO
26.279228,-6.4358377,SO
26.610624,-6.1511903,SO
25.66844,-6.3960276,SO
25.9148,-5.928443,SO
25.654549,-6.9201674,SO
25.792624,-5.1042957,SO
26.147367,-6.045008,SO
26.48921,-6.0976796,SO
26.14283,-5.3626184,SO
26.434826,-6.5239525,SO
25.344109,-4.844819,SO
26.120932,-6.759309,SO
25.518282,-6.329156,SO
25.080631,-6.2136817,SO
25.102707,-6.909828,SO
24.874895,-5.8766284,SO
25.446648,-5.9551005,SO
25.58128,-7.2798057,SO
24.775806,-5.071043,SO
25.466629,-6.6693187,SO
25.482277,-5.3484306,SO
24.70806,-7.204238,SO
24.90875,-5.585021,SO
25.091455,-4.5484576,SO
25.701395,-6.6600175,SO
26.25277,-7.4962893,SO
25.929892,-6.688947,SO
25.667015,-6.45451,SO
25.857454,-6.765032,SO
26.341164,-7.8801804,SO
18.389244,-2.7944727,SO
24.12609,-5.8678904,SO
18.789566,-2.654055,SO
23.878485,-7.012345,SO
18.786657,-2.6876347,SO
24.05659,-5.934895,SO
18.6942,-2.9332836,SO
23.775656,-5.9811726,SO
18.514254,-2.7372515,SO
23.239264,-5.424513,SO
18.871254,-3.1471097,SO
23.243797,-6.03479,SO
18.620256,-2.9296396,SO
23.807774,-5.551086,SO
19.07831,-3.1903882,SO
23.612144,-5.8363223,SO
18.935274,-3.0756302,SO
24.01407,-7.1729264,SO
19.315117,-3.1697564,SO
23.67027,-6.209407,SO
19.356573,-3.5051346,SO
24.47349,-6.0587215,SO
19.786892,-3.3277407,SO
23.902206,-7.436328,SO
18.71285,-5.054303,SO
23.789143,-6.532342,SO
19.61665,-4.006254,SO
22.776978,-7.8443384,SO
19.055365,-4.3043747,SO
24.184774,-7.649117,SO
20.214314,-3.8174877,SO
24.615208,-7.137382,SO
19.365976,-4.3796353,SO
23.484337,-7.313736,SO
20.032862,-3.9975493,SO
24.480295,-7.169161,SO
19.33604,-4.799437,SO
23.643015,-5.352099,SO
20.818327,-3.9786673,SO
23.460363,-6.888444,SO
20.381657,-4.4526553,SO
22.81512,-6.368985,SO
20.155579,-4.1594243,SO
22.441895,-6.4597435,SO
19.966242,-3.4486892,SO
23.045904,-6.321925,SO
19.926256,-4.0321493,SO
22.572931,-6.102774,SO
20.498745,-4.071178,SO
24.019325,-6.516882,SO
20.214853,-4.111268,SO
23.300589,-6.2859244,SO
20.415297,-4.039465,SO
22.417038,-6.9788423,SO
19.32555,-4.8458934,SO
22.583946,-5.683072,SO
20.069395,-4.15472,SO
23.945265,-6.9121428,SO
19.616526,-4.317984,SO
23.548002,-6.5278554,SO
16.986498,-2.7391093,SO
16.5063,-2.0260034,SO
17.22773,-2.50557,SO
17.379236,-2.9430585,SO
17.037209,-2.6431696,SO
15.830615,-3.16319,SO
16.672125,-2.7364209,SO
17.552973,-3.3813155,SO
16.792976,-2.6050308,SO
15.902056,-3.1476982,SO
16.713682,-2.6616678,SO
15.871545,-3.155917,SO
17.485695,-2.4604483,SO
15.688303,-3.1828465,SO
17.277056,-2.5614138,SO
16.697674,-3.0168238,SO
