Oil_Type,Feature 1,Feature 2,Feature 3
SO,5.9773197,0.038523257,5.239887
SO,6.641911,-0.6284692,5.687082
SO,6.3405576,-0.2877049,6.9517055
SO,6.2597275,-0.12764406,7.274485
SO,6.335876,-0.7809697,7.429612
SO,6.4401445,-0.5024023,7.387569
SO,6.935508,-0.7817956,8.232398
SO,5.864423,1.337956,3.6551752
SO,7.0435414,-0.9667944,7.4591994
SO,6.2769303,-0.08160774,7.6841288
SO,5.785621,1.5708379,3.553722
SO,5.761301,1.5195907,3.6133177
SO,5.795483,1.5173011,3.5617497
SO,5.7713213,1.4964713,3.6419573
SO,5.7861485,1.4683064,3.5978394
SO,5.82587,1.3904318,3.6909266
SO,5.8644223,1.3379613,3.6551712
SO,5.771869,1.2473233,3.9125347
SO,6.259311,0.8565015,4.3379164
SO,5.809436,0.76485187,4.5662327
SO,6.2126207,-0.6567594,4.183639
SO,6.1828675,-0.5415857,9.150177
SO,6.1051583,-0.6872772,4.234246
SO,5.991332,-0.51972735,8.91689
SO,6.022286,-0.7285866,4.4200673
SO,5.968199,-0.6382365,8.898215
SO,5.1772795,-1.1165901,4.1649637
SO,6.0395103,-0.8425211,9.278263
SO,5.8539596,-0.83424544,4.3507996
SO,5.4893565,-0.9513464,9.361225
SO,6.0638247,-0.59979975,4.689447
SO,5.7799716,-0.94709533,9.107602
SO,6.0703025,-0.6498162,4.569112
SO,5.3679614,-0.98129743,9.2338705
SO,6.0241585,-0.48154,4.8932085
SO,5.7117524,-0.9039496,9.468527
SO,6.0664597,-0.5081463,4.811452
SO,4.71331,-0.7886138,8.645077
SO,6.0602994,-0.5626909,4.7313924
SO,5.488934,-1.0547202,9.869846
SO,6.7783666,-3.2058706,9.5905285
SO,5.587046,-2.6050057,9.6498375
SO,4.5218935,-1.8675334,8.173641
SO,5.005601,-2.4036772,9.66715
SO,5.045715,-1.3053021,8.342254
SO,5.423937,-2.6627994,9.892024
SO,5.823104,-2.272394,7.906428
SO,4.020852,-2.7394593,9.515707
SO,4.829249,-1.8666302,8.392266
SO,5.1759434,-2.9269912,10.098295
SO,4.5061355,-2.1196365,8.8111925
SO,5.407274,-2.31717,9.353597
SO,4.3872824,-2.029684,8.220945
SO,5.409943,-2.2917721,8.699505
SO,4.264844,-2.449511,8.400566
SO,6.3225656,-2.0348465,8.610408
SO,5.110981,-2.1121233,8.751404
SO,5.345956,-2.2238915,9.211356
SO,5.712403,-1.7519966,8.762788
SO,4.4528136,-2.0373373,9.140331
SO,6.594016,-2.1578612,8.082924
SO,4.997342,-3.0820713,9.092826
SO,5.2162256,-2.5953074,8.416379
SO,5.698261,-3.1231735,8.206219
SO,4.398167,-2.688124,8.004702
SO,5.9232802,-2.7567596,7.8471546
SO,5.796815,-2.6302948,8.425383
SO,4.071161,-2.775702,8.450556
SO,6.7978697,-2.6599157,7.93017
SO,5.1764064,-3.0273557,8.528062
SO,4.5782185,-1.4343989,7.600215
SO,3.8272543,-2.6261046,7.526718
SO,6.395524,-3.1107018,8.449346
SO,7.346699,-2.57812,8.315236
SO,5.3034935,-3.025863,8.805257
SO,3.663422,-2.454609,8.881229
SO,5.1373487,-2.9448693,8.904413
SO,5.650738,-2.879575,8.781254
SO,5.2381144,-3.1275604,8.864071
SO,3.399744,-3.0451815,8.864811
SO,6.224225,-1.9298083,2.1766555
SO,5.2807446,-2.2822127,7.0080233
SO,5.841493,-1.6345015,2.2568955
SO,4.562006,-3.2904294,7.058141
SO,5.746855,-1.6749558,2.264427
SO,5.5876412,-2.821333,7.1225796
SO,5.941985,-1.9215635,2.4198647
SO,5.514226,-2.771503,6.9208665
SO,6.127608,-1.8235426,2.217655
SO,5.938474,-2.7647238,6.3424525
SO,5.86892,-2.0456386,2.6499436
SO,5.0210752,-2.5476782,6.2938786
SO,6.2788386,-1.9607358,2.5270793
SO,5.9893003,-2.758608,6.8865952
SO,5.576573,-1.976294,2.782584
SO,5.8816743,-3.2840652,6.867934
SO,5.533383,-1.9053627,2.632569
SO,4.1823373,-3.2638376,7.15464
SO,5.4561768,-1.8427359,3.0200555
SO,4.9887366,-2.3474011,6.675996
SO,6.1135397,-2.3450196,3.2330024
SO,5.9568405,-3.504752,7.7550282
SO,6.348435,-2.1008403,3.54437
SO,5.0724735,-3.8917358,7.1078305
SO,6.5682325,-3.692753,3.3867052
SO,5.1892676,-3.2991905,6.9913816
SO,5.6451335,-2.538839,3.6091015
SO,2.9827962,-3.3795497,7.1739025
SO,4.9796996,-2.6473427,3.1829367
SO,5.2040653,-4.0119896,7.3920403
SO,5.9433656,-2.3657565,4.1433244
SO,4.3355923,-3.095391,7.7029667
SO,4.889065,-2.2310688,3.5652926
SO,6.053335,-3.9245276,7.4951277
SO,5.719481,-2.398995,4.0135584
SO,4.7691917,-3.5023453,7.7390656
SO,4.6763816,-2.4782133,3.698022
SO,6.516651,-3.4468744,6.9510136
SO,6.150738,-2.2872572,4.6403847
SO,4.5405455,-2.7926106,6.6596947
