Feature 1,Feature 2,Oil Type
7.8016253,4.142898,GNO C
3.7006476,3.0017886,GNO C
-1.5759028,1.0820789,GNO C
-7.774474,3.758315,GNO C
-9.038331,1.0974576,GNO C
1.4170539,4.042168,GNO C
1.9118763,2.5707972,GNO C
0.57556087,2.9552283,GNO C
-0.47296938,0.46148822,GNO C
-7.241259,0.81367254,GNO C
2.7111962,4.2810073,GNO C
2.5571418,2.2525282,GNO C
1.1636887,3.153687,GNO C
-4.3782806,2.4336803,GNO C
-0.37436453,1.8190434,GNO C
2.1072376,4.0265555,GNO C
1.7940121,6.783389,GNO C
1.6824976,1.3053548,GNO C
-0.48168483,1.7613925,GNO C
0.96407133,3.601074,GNO C
-3.7449043,6.026953,GNO C
-1.8685699,-1.6127998,GNO C
6.992351,4.802434,GNO C
-1.0810927,2.3991039,GNO C
4.3288083,3.642335,GNO C
-4.3676696,-1.3544815,GNO C
-1.743485,-2.4633687,GNO C
6.6458464,3.3200524,GNO C
-1.5848323,-3.7990036,GNO C
-5.1542363,4.6799216,GNO C
-4.5164604,-5.044125,GNO C
-5.531839,0.004215964,GNO C
-3.6332588,1.197527,GNO C
5.715134,1.5397577,GNO C
4.950668,2.8459759,GNO C
0.9701053,1.6567929,GNO C
-4.107429,1.5747837,GNO C
-6.2622924,-0.9498572,GNO C
-2.2028437,3.2346785,GNO C
2.176564,3.0597188,GNO C
-0.8672636,-2.9259193,GNO C
-2.0554514,-1.3164752,GNO C
2.6805065,3.475271,GNO C
0.65830225,2.6202948,GNO C
8.473322,4.4049897,GNO C
-7.8676286,0.5798067,GNO C
-3.855403,-3.1719465,GNO C
-2.7603967,0.40342262,GNO C
-2.2238183,-3.1810198,GNO C
-4.011445,-2.6150293,GNO C
-7.2276525,-0.25060642,GNO C
-8.197021,-0.033093635,GNO C
-11.775346,-5.042528,GNO C
-5.0713444,-2.84812,GNO C
-1.9938675,-0.91534877,GNO C
-6.258609,-4.710682,GNO C
-3.103675,-3.46712,GNO C
3.0692706,4.7663846,GNO C
-0.4305032,-0.7681576,GNO C
-6.640994,5.1052227,GNO C
9.891005,7.273472,GNO C
7.351209,4.6280994,GNO C
8.093019,6.3149776,GNO C
5.0449376,3.1758394,GNO C
4.2018747,3.6559172,GNO C
9.598879,7.931733,GNO C
5.8450675,3.8729978,GNO C
5.223261,5.358765,GNO C
8.16161,5.427254,GNO C
1.851489,3.4386675,GNO C
7.048131,4.015659,GNO C
-1.2296357,9.808693,GNO C
2.5451589,3.337415,GNO C
2.659981,5.270085,GNO C
0.1861382,3.3078082,GNO C
8.969965,6.0977783,GNO C
7.036116,6.6417065,GNO C
3.0638957,4.5497565,GNO C
-2.4429479,6.179999,GNO C
3.1147928,3.5058966,GNO C
-10.01187,1.0939165,GNO C
-2.65121,-2.1549935,GNO C
7.130218,2.1099613,GNO C
-2.7860885,-4.8072267,GNO C
-1.6497384,-0.12373566,GNO C
-15.416752,-3.4181988,GNO C
5.7763333,3.486885,GNO C
-4.51559,-4.7040477,GNO C
-5.0010533,5.7082405,GNO C
-1.5623343,-0.5063979,GNO C
-4.637739,2.1254268,GNO C
-3.0043764,-3.4078934,GNO C
-4.6414633,-4.0038524,GNO C
-0.63936275,1.513097,GNO C
-2.9806576,-1.841286,GNO C
-1.8475246,-1.2138875,GNO C
-4.389073,-1.8878093,GNO C
-3.4030051,-5.1958647,GNO C
-4.4874043,0.37543347,GNO C
-4.542678,-4.1874886,GNO C
9.640307,5.649791,GNO C
