Feature 1,Feature 2,Oil_Type
22.995325,-0.5065116,SO
24.284687,-0.5232156,SO
24.091206,0.17266339,SO
25.748451,-0.038379714,SO
27.173336,1.0725021,SO
25.286901,0.34135032,SO
26.661144,0.47375715,SO
21.232037,-1.6202879,SO
24.796024,0.22548263,SO
26.007742,0.23868921,SO
21.589754,-1.4968272,SO
21.643328,-1.4199826,SO
21.508942,-1.4817477,SO
21.67195,-1.4018574,SO
21.552896,-1.4456743,SO
21.578375,-1.3305066,SO
21.23203,-1.6202873,SO
22.116812,-1.0615629,SO
22.872091,-1.1691735,SO
22.592781,-0.82226133,SO
22.215775,0.2001716,SO
26.400824,0.8403891,SO
22.061022,0.2694496,SO
25.90652,0.81314594,SO
22.46969,0.30963695,SO
26.035759,0.9824336,SO
21.748034,1.1710395,SO
25.615618,1.0604032,SO
22.233326,0.4675369,SO
26.20492,1.7893158,SO
22.460718,0.19137447,SO
25.939144,1.489833,SO
22.475914,0.2233108,SO
25.939602,1.8154051,SO
22.878584,0.11796669,SO
26.481106,1.7675225,SO
22.699194,0.33092976,SO
24.68686,1.1649233,SO
22.537569,0.28586552,SO
26.428045,2.132917,SO
27.314007,3.070705,SO
25.315744,1.4778873,SO
25.733103,2.0946774,SO
25.9376,2.6711037,SO
25.660477,1.7964399,SO
25.809103,2.3378386,SO
24.336258,2.178655,SO
25.842323,3.8122745,SO
25.208624,2.5635087,SO
26.751722,3.6374578,SO
25.573061,3.1116092,SO
25.831984,2.314298,SO
25.83853,3.1190922,SO
25.283424,2.3007417,SO
25.156973,3.4265773,SO
24.825806,1.9569062,SO
25.527538,2.4563558,SO
25.522224,2.5202754,SO
25.775087,1.7359651,SO
26.464064,3.160788,SO
25.083796,1.381522,SO
24.934494,3.1568832,SO
25.367952,2.9190006,SO
24.048578,2.932033,SO
25.294664,3.5941951,SO
24.51726,2.188832,SO
24.897062,2.395478,SO
25.085394,3.8361614,SO
24.317633,1.7464173,SO
24.738016,3.1278253,SO
24.379423,1.4118477,SO
24.908989,3.7695785,SO
24.377432,2.7602556,SO
27.28402,1.9132906,SO
25.034254,3.1229863,SO
26.203016,3.3967922,SO
24.989239,2.811021,SO
25.03752,2.9042966,SO
24.646324,2.8271725,SO
26.105099,4.236623,SO
20.104181,1.8544347,SO
24.2302,2.797224,SO
20.085583,1.5637741,SO
24.217628,3.9754903,SO
20.32784,1.7000486,SO
23.81229,3.0910048,SO
20.476854,1.7871094,SO
23.8143,2.8834546,SO
20.300053,1.5344746,SO
22.936878,2.2529602,SO
20.493748,1.9441046,SO
23.327765,2.5733929,SO
20.012997,1.8955352,SO
23.264093,2.8671448,SO
20.551733,1.6019171,SO
23.240482,3.2040968,SO
20.32903,1.4285038,SO
24.343935,4.0852013,SO
20.54097,1.3239238,SO
23.226715,3.326472,SO
20.741999,2.1224475,SO
23.850397,2.910775,SO
20.89251,1.9100801,SO
23.362432,4.38341,SO
20.00474,3.6120615,SO
