Oil Type,Feature 1,Feature 2,Feature 3
GNO C,4.925897,-0.8489855,-1.3930845
GNO C,3.4472919,0.28850865,-0.97949547
GNO C,2.1992412,-1.8770171,-0.63295865
GNO C,-4.0785317,2.359799,-1.7209452
GNO C,-6.4084315,-0.14593032,4.3775334
GNO C,1.2295521,0.6705916,-2.365562
GNO C,2.0202134,1.4325438,-1.0665227
GNO C,1.218534,0.1584301,-0.8214752
GNO C,-0.91833097,1.1904266,-0.60133266
GNO C,-3.8927758,0.30101502,-0.3577085
GNO C,2.2574813,1.834918,-2.941674
GNO C,1.6608007,1.8562179,-1.717458
GNO C,0.9699777,1.1141042,-2.3497021
GNO C,-3.1129448,2.859274,-2.8298304
GNO C,-0.2678403,1.0085924,-1.4886714
GNO C,1.5915327,1.9632721,-2.7736566
GNO C,1.5513164,3.1273298,-3.4462748
GNO C,0.4998303,2.1652436,-0.97960633
GNO C,1.0780714,-1.0534625,-0.21852353
GNO C,0.5624647,1.4944185,-2.0012028
GNO C,0.6013395,-1.5570254,-1.5173194
GNO C,0.5604235,-3.7453313,-0.18591067
GNO C,4.2806616,-2.5104935,-2.5343916
GNO C,-0.76976633,3.8588238,-4.358497
GNO C,3.619766,1.7155628,-2.190226
GNO C,-2.0153432,-4.32056,-0.27401882
GNO C,0.36245817,-3.7540843,0.61137706
GNO C,3.1860921,-2.5533342,-1.2870638
GNO C,-0.31594846,-1.4773437,1.4794505
GNO C,-3.747118,0.88809186,-4.004206
GNO C,-2.0202866,-4.416919,2.3430138
GNO C,-2.1777837,-1.054697,0.060398847
GNO C,-1.7830456,-1.7863877,-1.8877778
GNO C,2.2447972,-3.0610893,-0.1211476
GNO C,4.0489154,1.7762426,-1.723674
GNO C,0.52126604,0.9113322,-0.48383334
GNO C,-2.7836468,4.899138,-2.9612584
GNO C,-3.8362923,-2.7103953,-1.5704124
GNO C,-0.8691959,-2.5136142,-3.9468732
GNO C,2.2059667,0.7672588,-1.2497238
GNO C,2.1584666,-1.424458,0.848353
GNO C,1.3979015,-3.7536695,-0.5832172
GNO C,2.3814762,0.44941187,-1.6033366
GNO C,1.1714138,0.1079277,-0.8429208
GNO C,5.5202546,-3.254549,-2.8447564
GNO C,-3.167951,0.7788177,0.16824524
GNO C,-1.3156918,-2.0281112,1.1248049
GNO C,-0.3750066,-2.3238683,-1.1300124
GNO C,-0.28189382,-0.9346187,0.38968718
GNO C,-2.779834,-2.6548948,-3.8918593
GNO C,-2.6462028,0.0055072624,0.20015576
GNO C,-4.7378263,0.58623296,2.6557763
GNO C,-5.3708096,2.3338072,3.1274016
GNO C,-2.6383266,0.4708282,2.8545425
GNO C,1.0514644,-2.882481,-0.5516101
GNO C,-3.2549725,-3.6433702,2.955643
GNO C,-0.6376659,0.0007384491,1.9307988
GNO C,2.4192946,-0.70211583,-2.055826
GNO C,-1.1217672,1.7256657,0.9170084
GNO C,-4.705388,2.320947,-3.7421088
GNO C,6.5429373,-2.6790917,-3.398484
GNO C,4.2998633,-1.8201549,-2.3163188
GNO C,5.3918877,-0.5137759,-3.7888076
GNO C,4.225187,1.6138176,-2.0428486
GNO C,3.5999079,2.3308046,-2.63458
GNO C,6.395866,-2.8120594,-4.1845922
GNO C,2.4092746,-2.4396963,-2.0219579
GNO C,3.6377444,-0.63555217,-2.5061657
GNO C,5.519186,0.95464045,-3.4489086
GNO C,1.5931131,0.38485187,-2.0609303
GNO C,3.2181277,-3.551175,-2.8063848
GNO C,2.016848,-3.613541,-1.1171386
GNO C,2.1843185,1.1914623,-1.9593221
GNO C,2.0413609,-1.077415,-2.8405826
GNO C,0.53325844,-0.28384015,-1.5038075
GNO C,6.0847063,-1.3562152,-3.189671
GNO C,4.3636127,-2.7802339,-3.383927
GNO C,2.4231677,-0.6569266,-1.8840381
GNO C,-1.0531176,0.08285299,-6.0987015
GNO C,2.5606227,1.1016835,-2.268839
GNO C,-4.901107,1.9234287,1.5139099
GNO C,0.09306081,-2.3532822,0.33343977
GNO C,0.89141816,-4.8338127,1.6183653
GNO C,-1.1525017,-3.2244854,1.7236022
GNO C,-1.4225372,0.18809132,-0.06759002
GNO C,-6.046879,3.1889622,2.8265367
GNO C,1.8106285,-2.4428997,-1.9512907
GNO C,-2.4365907,-4.1344514,1.6231954
GNO C,-2.9397254,-1.9871837,-5.3164444
GNO C,-0.9801015,0.21318004,0.35829797
GNO C,-3.364817,3.059812,-3.0090787
GNO C,-0.45161143,0.1263698,1.8232948
GNO C,-2.857454,-5.040772,0.9380194
GNO C,0.89091486,-1.5667157,0.0075174794
GNO C,-0.5713216,-4.2598033,-0.040467754
GNO C,1.4889588,-3.2619321,-0.5602461
GNO C,-2.7751808,-4.618143,-1.2978743
GNO C,-0.89899755,-4.6179166,2.1588454
GNO C,-1.3576078,-1.7039309,-0.49778852
GNO C,-2.6269395,-5.1801157,1.0266755
GNO C,6.50732,-0.337781,-3.145876
GNO C,5.6791673,0.1479369,-3.7359245
GNO C,5.2878914,-1.9166837,-3.1045477
GNO C,3.1957383,-1.2292631,-1.3018503
GNO C,5.812923,-0.56019574,-2.6825347
GNO C,3.2803304,-1.8426471,-2.8445761
GNO C,4.906377,-0.36616826,-2.6399796
GNO C,3.762261,0.6690468,-2.6098108
GNO C,3.7270648,0.4913607,-2.7068665
GNO C,4.34095,-1.0072104,-2.8390243
GNO C,-1.0739733,3.7310896,-2.3295612
GNO C,3.130956,-0.052614633,-3.2049518
GNO C,4.6071086,-0.032506254,-3.4809854
GNO C,-0.2090628,1.7251534,-1.6463908
GNO C,5.6910696,0.050644208,-3.3102353
GNO C,4.765856,-0.6282487,-2.8673286
GNO C,4.339411,-1.8136557,-2.8868487
GNO C,-2.0688024,2.3652606,-4.617418
GNO C,-0.21103731,0.4160479,-0.44946384
GNO C,5.6889143,-0.11389849,-3.514189
GNO C,-3.8378932,1.4114556,2.3378844
GNO C,-5.7758985,1.6079605,2.1509404
GNO C,-4.310737,-3.4600239,-2.088441
GNO C,-6.116292,-2.3550475,2.2104728
GNO C,-8.371989,-0.46001852,2.995361
GNO C,-7.908385,1.2555588,0.6784954
GNO C,-6.4932823,-0.6135839,2.0549831
GNO C,-5.1300654,0.2412585,1.8666596
GNO C,-6.33891,0.74007946,2.5574996
GNO C,-4.1755805,-1.8498269,0.65208155
GNO C,-7.3488164,-1.0369878,1.6593145
GNO C,-8.886216,1.1831057,0.14096412
GNO C,-8.104935,2.5368755,1.3238049
GNO C,-8.795852,-1.3170825,1.624959
GNO C,-2.5674038,1.2713245,0.050250456
GNO C,-7.4218283,1.4601997,1.5293734
GNO C,-9.803861,2.0296748,-0.166247
GNO C,-8.941375,2.0267577,-0.50746953
GNO C,-9.813405,2.0829203,-1.5379261
GNO C,-7.8206806,3.3580117,0.9848132
GNO C,-6.8024716,-3.2366776,0.8963457
GNO C,-3.671995,2.668675,1.9648107
GNO C,-4.055747,-3.466062,5.175255
GNO C,-6.025669,-1.1436268,2.8033168
GNO C,-5.695778,-2.4525294,1.4992013
GNO C,-1.741221,-2.7904575,0.22870287
GNO C,-3.6547208,2.3562737,1.9386933
GNO C,-8.228121,-1.0561318,3.3854642
GNO C,-6.3113127,-2.561132,0.36146668
GNO C,-4.214767,-3.9122636,1.940348
GNO C,-2.6701572,-1.7324471,0.7073026
GNO C,-2.9338586,-1.4731795,1.4474912
GNO C,-6.343144,-0.40459687,0.72264963
GNO C,-5.745665,-1.1004167,1.3015121
GNO C,-5.2915893,-2.6897676,-0.59651285
GNO C,-5.0695457,0.25300193,1.3516427
GNO C,-6.5536647,-1.8705751,0.74523723
GNO C,-1.924416,0.931436,1.4266453
GNO C,-4.3003716,-0.7923298,0.5353854
GNO C,-3.7429686,-2.8261309,1.8151575
GNO C,2.248358,-2.0327165,-3.5488975
GNO C,2.2035353,3.0844555,-2.2627454
GNO C,-2.0722587,2.4386733,-1.9845713
GNO C,-5.8356934,1.944794,-1.8922576
GNO C,-3.5733736,2.1253476,-0.58289784
GNO C,-0.92837733,-0.7844071,-1.395584
GNO C,-3.6067524,3.8661504,-0.94415045
GNO C,-4.067455,3.253043,-1.3017176
GNO C,-4.2774487,2.1071975,0.44220904
GNO C,-3.7329714,0.35117936,1.0559683
GNO C,0.80451506,-4.266626,-0.8544819
GNO C,-1.117071,1.0156733,-0.0021765977
GNO C,-3.1611414,1.7296929,-1.4153731
GNO C,-1.3591765,0.7201021,-0.491677
GNO C,-4.146657,0.9657523,-0.25474238
GNO C,4.7950506,-1.2317632,-2.4104664
GNO C,-1.2742133,5.152173,-2.1765165
GNO C,-3.3564122,0.9776746,-0.39222685
GNO C,-2.3508074,1.880478,-1.0490533
GNO C,-3.5052311,3.502792,-0.93323994
PO C,-3.972549,-0.47043544,4.07935
PO C,-1.6282591,-2.2249355,5.25853
PO C,-0.08578248,-1.7945045,4.557766
PO C,0.26208735,-1.6893504,1.7530218
PO C,-1.8294293,0.026966305,4.2364025
PO C,5.4940557,2.077816,-0.7507178
PO C,-6.153676,4.3350134,-0.2280254
PO C,-1.4704741,-1.3537264,4.730854
PO C,-3.3754675,-1.3626596,5.376318
PO C,0.5437248,-2.2880201,4.0769615
PO C,-1.4447408,-0.87963945,5.461628
PO C,-3.5137007,-1.5219779,5.550698
PO C,-1.5842178,-1.4407239,4.636666
PO C,-2.1674807,-1.6334387,5.1246753
PO C,-1.1480938,-1.4017838,4.558931
PO C,-1.7840596,-0.4755725,5.0122614
PO C,-7.6683707,0.43966222,3.142805
PO C,-3.6765387,-0.4224767,5.2452054
PO C,-2.766378,-0.96495765,5.1427493
PO C,-3.0038989,0.33847842,3.0128937
PO C,-0.038140718,-1.7934679,5.968704
PO C,3.2168372,1.8080788,-0.36844164
PO C,4.8999944,0.6159125,-0.041997932
PO C,0.16416582,-1.1209748,3.0995495
PO C,-2.820257,0.33334786,5.3734207
PO C,-5.5499473,0.5242278,4.0010505
PO C,-3.3477159,-0.16663381,1.3224645
PO C,2.1098583,-2.352914,2.6380885
PO C,6.3050594,2.502117,0.3106908
PO C,5.6006804,-2.7280812,0.63086843
PO C,0.27584285,-2.872113,3.733313
PO C,0.1396488,-2.483716,4.865143
PO C,6.9598045,-1.4991441,-1.5226396
PO C,0.5259979,-2.6120076,2.662239
PO C,1.7078826,-2.9312582,1.9495416
PO C,0.014240459,-1.8901473,3.9139183
PO C,-0.62968767,-1.950924,3.9717388
PO C,1.5939326,-2.665445,2.5301187
PO C,-0.28371507,-3.8020585,2.0874085
PO C,-2.498993,1.240364,2.8939953
PO C,0.420016,-3.7960858,2.349704
PO C,6.985531,0.45142192,-0.86239713
PO C,6.5942135,1.0841821,-0.6985751
PO C,6.65326,1.8840532,-0.2185376
PO C,6.3676343,1.9208069,-0.41306472
PO C,-7.734672,3.01108,3.6582813
PO C,5.9516068,1.5625464,-1.3113935
PO C,9.197081,0.9629132,-1.7642787
PO C,8.336687,1.2138382,-1.1857437
PO C,6.6980114,1.6374387,-0.5276011
PO C,-4.0189977,1.4855782,4.6955504
PO C,0.7897716,1.473572,1.1025854
PO C,9.376295,0.9241051,-2.0145428
PO C,9.071534,1.021617,-1.6710172
PO C,9.090139,1.0120405,-1.6693255
PO C,-7.6526437,1.8073018,3.140487
PO C,-1.9272674,0.29721728,4.2361703
PO C,-0.33057073,-3.8508048,3.3254983
PO C,-1.479012,-0.9306354,1.3056414
PO C,-1.5996203,-4.5341473,1.2368279
PO C,8.411779,0.5741013,-1.1334157
PO C,7.3380065,0.45196286,-1.2059965
PO C,7.610143,0.832379,-1.1617187
PO C,7.400868,0.68437296,-1.1900629
PO C,7.1056037,0.5292769,-0.82992053
PO C,9.335027,0.92578644,-1.9446297
PO C,8.195912,1.0083163,-1.3697517
PO C,5.3494935,1.0158063,-0.15972824
PO C,7.4917355,0.43873057,-0.715121
PO C,7.430028,-0.51731306,-1.6614046
PO C,8.952807,0.97014534,-1.5443577
PO C,9.116794,0.9202755,-1.7276831
PO C,6.0283155,2.1983032,-0.7482443
PO C,6.9513016,0.70488334,-0.7679885
PO C,7.852635,0.71004295,-0.16987233
PO C,7.563861,1.6677942,-0.57135373
PO C,6.9819403,2.4416676,-1.9276464
PO C,3.8685672,3.8115606,-0.2517972
PO C,1.857891,3.3058467,0.40243012
PO C,1.7314302,3.2363462,0.3674879
PO C,-2.3709872,3.7208803,0.87285703
PO C,0.30363607,1.7250408,0.14773928
PO C,5.0623446,1.0244747,-0.08684887
PO C,1.7993993,2.293231,0.74979866
PO C,6.235579,1.6521091,-0.33840466
PO C,-0.87504685,-1.8325794,2.5329528
PO C,1.803796,2.1465046,0.7871591
PO C,-3.949251,1.675726,4.7711887
PO C,1.5515074,0.96316665,0.45737308
PO C,2.419435,1.0333341,0.49500808
PO C,-9.582877,3.2894893,1.6065851
PO C,-9.531519,3.500402,0.36146203
PO C,-10.1035595,2.904626,0.5470249
PO C,-9.489838,3.0823565,1.5104015
PO C,-9.610519,2.9155087,1.0623622
PO C,-10.008477,2.605512,1.1061699
PO C,-9.386086,2.4941695,0.5660961
PO C,-10.143366,3.2365587,0.72813994
PO C,-10.047504,2.442001,1.1780168
PO C,-9.629729,3.2133634,1.1349092
PO C,2.5459452,-3.9009197,1.8416699
PO C,-9.35982,0.99724877,3.0470955
PO C,-7.3917103,-0.35881597,2.4875581
PO C,-4.217986,-3.1242933,4.3541265
PO C,-2.1832314,2.4704146,3.475465
PO C,-9.068356,1.8651584,2.6070454
PO C,-7.9135466,0.50491416,2.019978
PO C,-7.436587,-2.0891457,1.8954501
PO C,-10.16942,1.2882966,2.2152774
PO C,-5.9298587,3.2011392,0.4469004
PO C,-8.695156,1.1980811,1.7559171
PO C,-8.192731,2.1670783,2.4625523
PO C,-9.976098,0.5747952,0.065750845
PO C,-9.181095,1.0031521,1.1306355
PO C,-9.374051,2.5840175,1.2432386
PO C,-8.125779,1.7758524,2.1825716
PO C,-8.8989525,0.25449038,1.9838797
PO C,-6.2234054,0.10802607,3.6065555
PO C,-8.983945,1.4063333,0.90880203
PO C,-8.7921715,2.0152957,0.5246762
PO C,0.9523903,-2.3081384,4.4235516
PO C,3.1993737,-2.9652376,0.3729407
PO C,6.130513,0.7934514,-1.5832939
PO C,0.99206865,-1.8894649,2.443313
PO C,-1.1941466,3.6489556,2.005917
PO C,3.1434472,3.7185416,-0.1930922
PO C,7.098922,2.2582967,-2.156631
PO C,7.256032,1.1969262,-2.5909412
PO C,2.0425727,4.2395706,-0.3464695
PO C,0.57110965,3.4387841,1.0493351
PO C,7.180004,2.6505427,-2.109619
PO C,6.981771,2.329353,-1.8572245
PO C,6.9823856,2.5640686,-1.9341071
PO C,-0.3193147,2.1814609,5.707911
PO C,-4.7763157,3.444938,0.45299515
PO C,0.35419452,4.737011,-2.156011
PO C,1.111507,3.23013,-0.67961323
PO C,3.0450199,3.8070688,-0.18573491
PO C,-6.338213,3.56853,-0.87394536
PO C,-6.4075017,3.3674784,-0.3771424
PO C,-0.8213821,2.0015347,0.29503256
PO C,-0.8656579,2.9109535,0.348169
PO C,-6.10884,2.4155185,0.105812214
PO C,-8.337577,2.794666,0.27771577
PO C,-7.660532,2.8251863,0.024771435
PO C,-0.9110836,2.2891772,0.05160915
PO C,-2.509742,1.4698727,1.0881628
PO C,-3.5297058,2.5345368,0.10612673
PO C,-1.2340206,3.0208533,-0.38580692
PO C,-5.2993164,2.549649,0.15665543
PO C,-7.7051363,1.7183857,0.22229443
PO C,-2.305909,-0.022420375,1.1388664
PO C,-3.2990608,2.4180574,-0.00556491
PO C,-2.5032902,-3.0097206,1.118046
PO C,-1.2841874,2.286502,0.25587445
PO C,-2.7725623,3.3195226,-0.50626636
PO C,-4.125278,-0.6359572,0.9550581
PO C,-1.6625139,1.8064885,0.34280312
PO C,-3.0077388,-2.330308,1.1980389
PO C,-2.7550173,1.5195088,0.9088961
PO C,0.57571316,4.484365,-0.44124058
PO C,1.2033606,3.2621741,-0.93982905
PO C,1.09017,3.5363035,-1.4407326
PO C,0.2465881,3.4422057,-0.3960022
PO C,-0.5199803,2.5788841,-1.5739079
PO C,-0.69013995,3.1086736,-0.7287249
PO C,-0.2785218,4.312728,0.0017170309
PO C,-0.60918057,3.149646,-0.7049702
PO C,-1.0787477,3.4742527,-1.460888
PO C,-0.67801046,2.7465913,-0.07898179
PO C,0.22929585,3.5956905,-0.3989464
PO C,0.10049622,3.021266,-1.0260874
PO C,-0.46242183,3.6412833,-0.5221009
PO C,0.10253402,2.9101195,-0.17024171
PO C,0.61671495,3.4398558,-0.2789378
PO C,2.4212155,3.812459,-1.5482792
PO C,-1.4514167,3.9266934,-0.54089814
PO C,0.50038165,2.9996514,-0.023162186
PO C,-0.5019433,3.4918082,-0.65849805
PO C,1.2271178,3.1117785,-0.62972724
SO C,-6.5222507,2.585006,0.83875024
SO C,-3.2448728,-0.36251011,-0.41945288
SO C,-6.5625377,1.7209573,0.52323014
SO C,-2.6772535,-0.6928562,-0.59394324
SO C,-0.6105719,-0.26967192,-4.5216517
SO C,-5.8165097,0.58540416,0.115183435
SO C,5.466446,-2.7404485,-4.5197415
SO C,-2.841166,-0.101668134,-1.8041471
SO C,-3.6024902,1.5402808,-2.338995
SO C,2.2627656,0.5742762,-4.4678082
SO C,-3.3121657,-1.1823852,0.464365
SO C,-1.6864862,-3.3156898,-1.0400331
SO C,0.6170094,-1.6246839,-1.4427989
SO C,-3.3859031,-0.10573886,-1.1431284
SO C,0.67797214,0.600184,-3.5674763
SO C,-3.453203,-3.3710377,0.31380537
SO C,-3.7461016,-0.47751746,-0.38423142
SO C,-4.8966274,-0.5661236,-0.055888895
SO C,-3.3229187,-0.17444259,-1.047496
SO C,0.24050625,-2.6145146,-1.9628761
SO C,-4.169092,-2.922349,3.7752035
SO C,-4.5862284,-1.2834302,-2.0876293
SO C,-4.8383236,-1.5401984,4.5322843
SO C,-6.2211747,0.4155665,1.7280163
SO C,-7.06822,0.80754864,1.4404775
SO C,-5.7173476,1.0651376,0.713627
SO C,-7.9582863,-0.45513904,1.1867412
SO C,-8.801549,1.5090479,0.44690955
SO C,-8.36532,1.6356173,0.05100027
SO C,-7.8523216,2.3205063,0.8950518
SO C,-7.609723,0.44364846,1.7450887
SO C,-8.330694,1.3262339,0.04172341
SO C,-7.0424867,0.18205802,0.40260857
SO C,-7.07494,-0.84626347,0.46103132
SO C,-8.842873,2.4235687,-0.6676447
SO C,-5.7744575,-1.8665987,1.4935505
SO C,-9.371636,0.44400114,0.6750577
SO C,-7.879544,0.8230748,0.53566056
SO C,-8.394444,1.2742885,0.112879194
SO C,-8.318483,1.5652509,-0.09222109
SO C,-0.32332483,0.32365912,-3.5574505
SO C,5.577144,-1.7732736,-5.2223845
SO C,3.612239,-1.5386434,-3.9428139
SO C,6.8147364,-0.04284821,-5.5211544
SO C,2.6317933,2.2193983,-4.8496933
SO C,2.121781,1.6141448,-4.128617
SO C,2.285982,2.368174,-4.52418
