Oil_Type,Feature 1,Feature 2,Feature 3
SO,-1.0917453,-0.6508659,9.537839
SO,1.2907677,-0.99118245,11.078765
SO,-0.87274766,-0.6780121,10.836936
SO,-1.4987257,-0.72755134,11.819371
SO,-2.066379,0.31668893,10.687423
SO,-0.3054421,-0.5902035,11.932453
SO,-0.8452764,-0.27457616,13.293822
SO,-0.15749113,-2.2274237,7.8582315
SO,0.32300296,-0.91530526,11.964665
SO,-1.5979025,-0.44909802,12.148502
SO,-0.48173457,-2.0293267,8.392345
SO,-0.7341701,-1.728995,8.306488
SO,-0.47006044,-1.9826568,8.281719
SO,-0.80136573,-1.6898568,8.286139
SO,-0.6007797,-1.807719,8.218191
SO,-0.40893385,-1.7892034,8.320978
SO,-0.15749113,-2.2274237,7.8582315
SO,-1.0156188,-1.130453,8.678534
SO,-0.4064524,-2.0434184,9.711359
SO,-1.112222,-0.8596368,8.999696
SO,0.5104777,-0.8644508,9.437327
SO,-0.8890688,0.044108268,12.968175
SO,0.5008222,-0.7550232,9.227534
SO,-1.2851855,0.032092307,12.021495
SO,0.12458699,-0.5379047,9.5566025
SO,-1.5342108,0.28939003,12.081082
SO,-0.2332996,0.8549233,8.297041
SO,-0.53559357,0.13758262,12.137831
SO,0.19970086,-0.37541908,9.31742
SO,-1.1223232,1.012608,12.524768
SO,0.10055993,-0.734465,9.589087
SO,-0.93689305,0.6221804,12.145178
SO,0.101996675,-0.60329664,9.539909
SO,-1.13141,1.0207922,12.089289
SO,-0.29214793,-0.63927156,9.841908
SO,-1.5330062,1.093542,12.752945
SO,0.21977401,-0.67169327,9.913885
SO,-1.4160503,1.4044595,10.105223
SO,0.28632656,-0.7041324,9.7323675
SO,-1.5392418,1.4831378,12.616206
SO,0.9531933,1.6781036,13.583636
SO,0.11651372,0.808126,12.865614
SO,-1.6394646,1.6243176,11.33792
SO,-0.68427277,1.8814934,12.416284
SO,-1.2260913,1.0334132,11.443019
SO,-0.31205457,1.4816364,12.6994
SO,0.4536112,0.95718175,11.270259
SO,-0.9182929,3.1366832,11.665648
SO,-0.6856221,1.4544232,11.159312
SO,-0.021124896,2.4321694,13.386076
SO,-0.81356806,2.2567794,11.377952
SO,-0.61147606,1.2709359,12.201233
SO,-1.2360034,2.3717492,11.496536
SO,-0.0881658,1.3794749,12.072618
SO,-0.52282333,2.3884053,11.01548
SO,0.59592,0.66867137,11.864967
SO,-0.6147625,1.5631609,11.975288
SO,-0.61744905,1.6082902,11.903013
SO,-1.3976878,0.979101,11.857893
SO,-1.809007,2.60649,11.971885
SO,0.37223488,0.5998711,12.967528
SO,0.29196113,2.3884213,12.072265
SO,-0.3992722,2.2114396,11.896337
SO,1.117022,1.865729,11.64864
SO,-0.81111103,2.31395,10.499932
SO,0.2766239,0.8798076,11.229173
SO,0.2386153,1.2357224,11.789466
SO,-0.37084955,2.9635997,11.280983
SO,0.9559611,0.37364483,12.369642
SO,0.18031184,2.0906587,11.45954
SO,-2.162339,1.7415571,10.9523735
SO,-0.65636045,2.5711927,10.449254
SO,1.158561,1.6364663,12.178819
SO,1.3232176,0.23638861,12.757684
SO,-0.007029272,2.1910095,11.724949
SO,-0.9457714,2.767791,12.510532
SO,0.4095937,1.9820004,12.281805
SO,0.026948694,1.7162372,11.526722
SO,0.7601201,1.9980549,12.307878
SO,-1.5157055,3.1699438,10.669899
SO,2.0525577,0.30067158,7.8828626
SO,-0.16162844,1.4251788,10.547556
SO,1.6812192,0.087163426,7.5062594
SO,0.2736024,2.8259099,10.369875
SO,1.5493689,0.18949081,7.906895
SO,0.541202,1.8836566,10.489927
SO,1.5767832,0.43020204,8.038165
SO,0.3620178,1.8005736,10.729622
SO,1.5704399,0.022941623,7.9671063
SO,1.3340855,0.6574688,10.7244215
SO,1.6339241,0.64731634,8.092312
SO,0.34304383,1.5607944,9.840301
SO,2.0714211,-0.16451702,8.370582
SO,1.3746958,1.2667954,10.934485
SO,1.1693461,0.690056,7.7650805
SO,1.4227839,1.7328719,10.874449
SO,1.16616,0.20321149,7.7595406
SO,0.22005567,2.9226885,10.44688
SO,0.9423208,0.32242665,7.789859
SO,0.535874,2.0963366,9.64044
SO,1.8495789,0.3806452,8.63563
SO,1.6531078,1.9557077,12.171645
SO,1.6839428,0.18849728,8.740739
SO,1.7574167,2.8992257,10.171684
SO,3.4081974,1.4400098,8.667666
SO,0.81072927,2.2211704,10.288126
SO,1.6056366,1.0056257,8.456684
SO,-0.0821338,4.063396,12.49882
SO,3.1433024,0.6556909,9.029253
SO,1.5838587,2.6555178,11.195632
SO,1.5005835,0.67931974,9.103061
SO,-0.26929778,2.3671305,10.518512
SO,0.47398418,1.0687737,8.292844
SO,1.6495234,1.9995767,11.435408
SO,1.3642017,0.9179196,8.785692
SO,0.50982535,2.7763054,11.037765
SO,0.81109095,1.5868541,7.925611
SO,1.9103068,1.1497922,11.477036
SO,2.8031425,0.95846,10.396395
SO,-0.22008617,1.7880372,9.509224
SO,2.1203356,-0.5534164,9.988994
SO,1.9381315,2.478612,10.346168
SO,1.9046898,0.9622825,9.16863
SO,1.4297082,2.183032,9.4261265
SO,1.1299963,0.16285658,6.8182898
SO,1.575585,1.938936,10.071956
SO,2.1284027,0.7308721,9.071911
SO,2.1805382,2.3237157,9.909061
SO,1.5762855,0.5583822,10.334788
SO,0.14098899,2.9427936,9.68212
SO,1.4640963,0.93722224,9.215181
SO,0.77388483,1.9797125,10.113563
SO,2.313932,0.16194364,9.685626
SO,1.0794052,3.1899993,9.00489
SO,1.600586,2.1320212,7.7319956
SO,2.051075,1.3266298,10.219142
SO,2.1069565,1.1575104,9.162131
SO,-0.108928874,3.363941,10.906959
SO,1.4898846,1.3779582,8.270766
SO,1.0935221,2.5346913,10.08716
SO,3.5473766,-1.0023165,7.4751854
SO,4.366228,-0.24925031,7.8092375
SO,3.0545554,-1.1273624,7.239811
SO,3.3457837,-0.56465757,6.960182
SO,3.6203978,-0.7308897,7.404334
SO,4.168304,-2.1169665,8.053898
SO,3.820677,-1.3306093,7.3664947
SO,3.3056967,-0.38272327,7.98805
SO,3.8912852,-1.0376601,7.4062138
SO,4.152473,-2.0344014,7.9952393
SO,3.7532835,-1.2024416,7.313669
SO,4.172746,-2.1116283,8.038266
SO,3.0534306,-0.96798766,7.418643
SO,4.221379,-2.2142916,8.103886
SO,3.3422832,-0.52636427,6.91944
SO,4.0517488,-1.032411,7.5241075
SO,3.1429787,-1.0432422,7.423395
SO,3.6839566,-0.9173368,7.719807
SO,3.5202885,-0.94730395,7.632224
SO,4.045884,-1.2360604,7.9723315
SO,2.0232394,3.7219257,12.29719
SO,1.6869112,3.2103264,10.879287
SO,-0.121794075,4.019132,10.554074
SO,1.1136675,3.8742313,10.757056
SO,1.785257,4.1537395,9.824364
SO,0.7055506,3.2642863,11.128849
SO,-0.046612293,4.341827,10.41073
SO,2.7432575,2.8386788,10.558794
SO,2.8522775,3.142835,10.609834
SO,1.315506,3.696671,10.631676
SO,2.3660629,3.4744856,10.556832
SO,1.8011806,3.0455215,11.512947
SO,0.5506677,4.3839383,9.360001
SO,2.078877,3.1383605,11.740968
SO,0.7658212,4.526911,10.818786
SO,0.60515475,4.4610257,11.342021
