dataset,k,wcss,silhouette_score
oils,2,1014415.2718695083,0.46313868856166096
oils,3,804205.7086615245,0.33085187586942405
oils,4,684060.6531170994,0.333139113711639
oils,5,615065.2034178884,0.3434359433305765
oils,6,600439.9955930662,0.34743753284746676
oils,7,577937.9512187561,0.3293624811515904
oils,8,575245.8027509422,0.2006806222120871
oils,9,562727.844721164,0.20423627316190465
oils,10,559004.4863910757,
chips,2,1355223.2647472552,0.20630888811831213
chips,3,1255060.0997165395,0.15160265710718807
chips,4,1199992.801090201,0.11041064216952307
chips,5,1155489.4535949603,0.06136362459289905
chips,6,1134303.8699853641,0.055962000116054525
chips,7,1116806.2909579375,0.050724992082535995
chips,8,1105317.4975468435,0.038900880231104
chips,9,1097759.4043528703,0.033737002828540454
chips,10,1079099.9776593682,
