dataset,model,split,true_label,predicted_label,count
oils,baseline,train,GNO,GNO,140
oils,baseline,train,GNO,PO,0
oils,baseline,train,GNO,SO,0
oils,baseline,train,GNO,SOYO,0
oils,baseline,train,GNO,VO,0
oils,baseline,train,PO,GNO,0
oils,baseline,train,PO,PO,140
oils,baseline,train,PO,SO,0
oils,baseline,train,PO,SOYO,0
oils,baseline,train,PO,VO,0
oils,baseline,train,SO,GNO,0
oils,baseline,train,SO,PO,0
oils,baseline,train,SO,SO,140
oils,baseline,train,SO,SOYO,0
oils,baseline,train,SO,VO,0
oils,baseline,train,SOYO,GNO,0
oils,baseline,train,SOYO,PO,0
oils,baseline,train,SOYO,SO,0
oils,baseline,train,SOYO,SOYO,140
oils,baseline,train,SOYO,VO,0
oils,baseline,train,VO,GNO,0
oils,baseline,train,VO,PO,0
oils,baseline,train,VO,SO,0
oils,baseline,train,VO,SOYO,0
oils,baseline,train,VO,VO,140
oils,baseline,test,GNO,GNO,60
oils,baseline,test,GNO,PO,0
oils,baseline,test,GNO,SO,0
oils,baseline,test,GNO,SOYO,0
oils,baseline,test,GNO,VO,0
oils,baseline,test,PO,GNO,0
oils,baseline,test,PO,PO,60
oils,baseline,test,PO,SO,0
oils,baseline,test,PO,SOYO,0
oils,baseline,test,PO,VO,0
oils,baseline,test,SO,GNO,0
oils,baseline,test,SO,PO,0
oils,baseline,test,SO,SO,60
oils,baseline,test,SO,SOYO,0
oils,baseline,test,SO,VO,0
oils,baseline,test,SOYO,GNO,0
oils,baseline,test,SOYO,PO,0
oils,baseline,test,SOYO,SO,0
oils,baseline,test,SOYO,SOYO,60
oils,baseline,test,SOYO,VO,0
oils,baseline,test,VO,GNO,0
oils,baseline,test,VO,PO,0
oils,baseline,test,VO,SO,0
oils,baseline,test,VO,SOYO,0
oils,baseline,test,VO,VO,60
oils,pre_pruned,train,GNO,GNO,140
oils,pre_pruned,train,GNO,PO,0
oils,pre_pruned,train,GNO,SO,0
oils,pre_pruned,train,GNO,SOYO,0
oils,pre_pruned,train,GNO,VO,0
oils,pre_pruned,train,PO,GNO,0
oils,pre_pruned,train,PO,PO,140
oils,pre_pruned,train,PO,SO,0
oils,pre_pruned,train,PO,SOYO,0
oils,pre_pruned,train,PO,VO,0
oils,pre_pruned,train,SO,GNO,0
oils,pre_pruned,train,SO,PO,0
oils,pre_pruned,train,SO,SO,140
oils,pre_pruned,train,SO,SOYO,0
oils,pre_pruned,train,SO,VO,0
oils,pre_pruned,train,SOYO,GNO,0
oils,pre_pruned,train,SOYO,PO,0
oils,pre_pruned,train,SOYO,SO,0
oils,pre_pruned,train,SOYO,SOYO,140
oils,pre_pruned,train,SOYO,VO,0
oils,pre_pruned,train,VO,GNO,0
oils,pre_pruned,train,VO,PO,0
oils,pre_pruned,train,VO,SO,0
oils,pre_pruned,train,VO,SOYO,0
oils,pre_pruned,train,VO,VO,140
oils,pre_pruned,test,GNO,GNO,60
oils,pre_pruned,test,GNO,PO,0
oils,pre_pruned,test,GNO,SO,0
oils,pre_pruned,test,GNO,SOYO,0
oils,pre_pruned,test,GNO,VO,0
oils,pre_pruned,test,PO,GNO,0
oils,pre_pruned,test,PO,PO,60
oils,pre_pruned,test,PO,SO,0
oils,pre_pruned,test,PO,SOYO,0
oils,pre_pruned,test,PO,VO,0
oils,pre_pruned,test,SO,GNO,0
oils,pre_pruned,test,SO,PO,0
oils,pre_pruned,test,SO,SO,60
oils,pre_pruned,test,SO,SOYO,0
oils,pre_pruned,test,SO,VO,0
oils,pre_pruned,test,SOYO,GNO,0
oils,pre_pruned,test,SOYO,PO,0
oils,pre_pruned,test,SOYO,SO,0
oils,pre_pruned,test,SOYO,SOYO,60
oils,pre_pruned,test,SOYO,VO,0
oils,pre_pruned,test,VO,GNO,0
oils,pre_pruned,test,VO,PO,0
oils,pre_pruned,test,VO,SO,0
oils,pre_pruned,test,VO,SOYO,0
oils,pre_pruned,test,VO,VO,60
oils,post_pruned,train,GNO,GNO,140
oils,post_pruned,train,GNO,PO,0
oils,post_pruned,train,GNO,SO,0
oils,post_pruned,train,GNO,SOYO,0
oils,post_pruned,train,GNO,VO,0
oils,post_pruned,train,PO,GNO,0
oils,post_pruned,train,PO,PO,140
oils,post_pruned,train,PO,SO,0
oils,post_pruned,train,PO,SOYO,0
oils,post_pruned,train,PO,VO,0
oils,post_pruned,train,SO,GNO,0
oils,post_pruned,train,SO,PO,0
oils,post_pruned,train,SO,SO,140
oils,post_pruned,train,SO,SOYO,0
oils,post_pruned,train,SO,VO,0
oils,post_pruned,train,SOYO,GNO,0
oils,post_pruned,train,SOYO,PO,0
oils,post_pruned,train,SOYO,SO,0
oils,post_pruned,train,SOYO,SOYO,140
oils,post_pruned,train,SOYO,VO,0
oils,post_pruned,train,VO,GNO,0
oils,post_pruned,train,VO,PO,0
oils,post_pruned,train,VO,SO,0
oils,post_pruned,train,VO,SOYO,0
oils,post_pruned,train,VO,VO,140
oils,post_pruned,test,GNO,GNO,60
oils,post_pruned,test,GNO,PO,0
oils,post_pruned,test,GNO,SO,0
oils,post_pruned,test,GNO,SOYO,0
oils,post_pruned,test,GNO,VO,0
oils,post_pruned,test,PO,GNO,0
oils,post_pruned,test,PO,PO,60
oils,post_pruned,test,PO,SO,0
oils,post_pruned,test,PO,SOYO,0
oils,post_pruned,test,PO,VO,0
oils,post_pruned,test,SO,GNO,0
oils,post_pruned,test,SO,PO,0
oils,post_pruned,test,SO,SO,60
oils,post_pruned,test,SO,SOYO,0
oils,post_pruned,test,SO,VO,0
oils,post_pruned,test,SOYO,GNO,0
oils,post_pruned,test,SOYO,PO,0
oils,post_pruned,test,SOYO,SO,0
oils,post_pruned,test,SOYO,SOYO,60
oils,post_pruned,test,SOYO,VO,0
oils,post_pruned,test,VO,GNO,0
oils,post_pruned,test,VO,PO,0
oils,post_pruned,test,VO,SO,0
oils,post_pruned,test,VO,SOYO,0
oils,post_pruned,test,VO,VO,60
chips,baseline,train,GNO C,GNO C,126
chips,baseline,train,GNO C,PO C,0
chips,baseline,train,GNO C,SO C,0
chips,baseline,train,GNO C,SOYO C,0
chips,baseline,train,GNO C,VO C,0
chips,baseline,train,PO C,GNO C,0
chips,baseline,train,PO C,PO C,126
chips,baseline,train,PO C,SO C,0
chips,baseline,train,PO C,SOYO C,0
chips,baseline,train,PO C,VO C,0
chips,baseline,train,SO C,GNO C,0
chips,baseline,train,SO C,PO C,0
chips,baseline,train,SO C,SO C,126
chips,baseline,train,SO C,SOYO C,0
chips,baseline,train,SO C,VO C,0
chips,baseline,train,SOYO C,GNO C,0
chips,baseline,train,SOYO C,PO C,0
chips,baseline,train,SOYO C,SO C,0
chips,baseline,train,SOYO C,SOYO C,126
chips,baseline,train,SOYO C,VO C,0
chips,baseline,train,VO C,GNO C,0
chips,baseline,train,VO C,PO C,0
chips,baseline,train,VO C,SO C,0
chips,baseline,train,VO C,SOYO C,0
chips,baseline,train,VO C,VO C,126
chips,baseline,test,GNO C,GNO C,27
