dataset,seed,inertia,silhouette_score,ari_vs_reference,nmi_vs_reference
oils,0,615065.2034178884,0.3434359433305765,1.0,1.0
oils,1,615065.2034178884,0.3434359433305765,1.0,1.0
oils,2,615065.2034178884,0.3434359433305765,1.0,1.0
oils,3,615065.2034178884,0.3434359433305765,1.0,1.0
oils,4,670986.2669467042,0.21008509948411047,0.6948794805239334,0.8573051687612551
oils,5,615065.2034178884,0.3434359433305765,1.0,1.0
oils,6,615065.2034178884,0.3434359433305765,1.0,1.0
oils,7,615065.2034178884,0.3434359433305765,1.0,1.0
oils,8,647548.7027837374,0.3220093493927079,0.7926313414658706,0.8895528588532374
oils,9,683031.146021393,0.31329684128302904,0.784825208928185,0.90385231361789
chips,0,1155489.4535949603,0.06136362459289905,1.0,1.0
chips,1,1155616.9749575034,0.06468297172974358,0.8870045961916023,0.8966051538931178
chips,2,1155540.7990535232,0.06336166780977973,0.9368383979555235,0.9365586927461924
chips,3,1157274.1063222862,0.0655436211064557,0.7824679034260005,0.7924198497723464
chips,4,1155552.583715977,0.06260862841168684,0.952041760701867,0.946375025664128
chips,5,1155616.9749575034,0.06468297172974358,0.8870045961916023,0.8966051538931178
chips,6,1155607.0864893887,0.06519171709278299,0.8785943721746107,0.8933614865820996
chips,7,1155589.6583749414,0.06340469053041084,0.9271511177513186,0.926982351500905
chips,8,1155788.1906533504,0.066233647943056,0.8485283175099514,0.856807841642482
chips,9,1157303.6176584454,0.06559296167830818,0.7787185847204972,0.7896539092848802
