dataset,model,split,accuracy,recall_weighted,precision_weighted,f1_weighted,tree_depth,leaf_count,selected_feature_count
oils,baseline,train,1.0,1.0,1.0,1.0,3,5,4
oils,baseline,test,1.0,1.0,1.0,1.0,3,5,4
oils,pre_pruned,train,1.0,1.0,1.0,1.0,3,5,4
oils,pre_pruned,test,1.0,1.0,1.0,1.0,3,5,4
oils,post_pruned,train,1.0,1.0,1.0,1.0,3,5,4
oils,post_pruned,test,1.0,1.0,1.0,1.0,3,5,4
chips,baseline,train,1.0,1.0,1.0,1.0,11,79,77
chips,baseline,test,0.6259259259259259,0.6259259259259259,0.629598166539343,0.6267627785058978,11,79,77
chips,pre_pruned,train,0.8476190476190476,0.8476190476190476,0.8515938390200236,0.8484873760364222,6,30,29
chips,pre_pruned,test,0.6481481481481481,0.6481481481481481,0.6538064713064714,0.6493315222505011,6,30,29
chips,post_pruned,train,0.7968253968253968,0.7968253968253968,0.8056845364249111,0.7977809250430427,7,17,16
chips,post_pruned,test,0.6444444444444445,0.6444444444444445,0.6590531637529983,0.6456494513504852,7,17,16
chips_paper_subtracted,baseline,train,1.0,1.0,1.0,1.0,10,41,39
chips_paper_subtracted,baseline,test,0.7703703703703704,0.7703703703703704,0.7693843193843193,0.7668804369263085,10,41,39
chips_paper_subtracted,pre_pruned,train,0.9095238095238095,0.9095238095238095,0.914346822609595,0.9094881579151237,6,16,15
chips_paper_subtracted,pre_pruned,test,0.737037037037037,0.737037037037037,0.7437272268264367,0.7322779850224104,6,16,15
chips_paper_subtracted,post_pruned,train,0.8634920634920635,0.8634920634920635,0.860853703858213,0.8617396180313577,4,6,5
chips_paper_subtracted,post_pruned,test,0.7925925925925926,0.7925925925925926,0.7913387919270272,0.7863337107892803,4,6,5
chips_paper_and_potato_subtracted,baseline,train,1.0,1.0,1.0,1.0,10,40,37
chips_paper_and_potato_subtracted,baseline,test,0.737037037037037,0.737037037037037,0.7284226783905686,0.7314598768555414,10,40,37
chips_paper_and_potato_subtracted,pre_pruned,train,0.9,0.9,0.9072041660371928,0.899108518148985,4,13,11
chips_paper_and_potato_subtracted,pre_pruned,test,0.7666666666666667,0.7666666666666667,0.7714180511763279,0.7632722965292273,4,13,11
chips_paper_and_potato_subtracted,post_pruned,train,0.8539682539682539,0.8539682539682539,0.8520967469975343,0.8516804590650763,4,6,4
chips_paper_and_potato_subtracted,post_pruned,test,0.7962962962962963,0.7962962962962963,0.7934267040149393,0.7899002802515082,4,6,4
