dataset,model,split,accuracy,recall_weighted,precision_weighted,f1_weighted,tree_depth,leaf_count,selected_feature_count,seed
oils,baseline,test,0.9933333333333333,0.9933333333333333,0.9935483870967742,0.9933599669375948,3,5,4,0
oils,pre_pruned,test,0.9933333333333333,0.9933333333333333,0.9935483870967742,0.9933599669375948,3,5,4,0
oils,post_pruned,test,0.9933333333333333,0.9933333333333333,0.9935483870967742,0.9933599669375948,3,5,4,0
oils,baseline,test,1.0,1.0,1.0,1.0,3,5,4,1
oils,pre_pruned,test,1.0,1.0,1.0,1.0,3,5,4,1
oils,post_pruned,test,1.0,1.0,1.0,1.0,3,5,4,1
oils,baseline,test,0.9933333333333333,0.9933333333333333,0.9935483870967742,0.9933599669375948,3,5,4,2
oils,pre_pruned,test,0.9933333333333333,0.9933333333333333,0.9935483870967742,0.9933599669375948,3,5,4,2
oils,post_pruned,test,0.9933333333333333,0.9933333333333333,0.9935483870967742,0.9933599669375948,3,5,4,2
oils,baseline,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,3
oils,pre_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,3
oils,post_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,3
oils,baseline,test,0.9966666666666667,0.9966666666666667,0.99672131147541,0.996666435169109,3,5,4,4
oils,pre_pruned,test,0.9966666666666667,0.9966666666666667,0.99672131147541,0.996666435169109,3,5,4,4
oils,post_pruned,test,0.9966666666666667,0.9966666666666667,0.99672131147541,0.996666435169109,3,5,4,4
oils,baseline,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,5
oils,pre_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,5
oils,post_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,5
oils,baseline,test,1.0,1.0,1.0,1.0,3,5,4,6
oils,pre_pruned,test,1.0,1.0,1.0,1.0,3,5,4,6
oils,post_pruned,test,1.0,1.0,1.0,1.0,3,5,4,6
oils,baseline,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,7
oils,pre_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,7
oils,post_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,7
oils,baseline,test,0.99,0.99,0.9902696985721839,0.9899979161360443,3,5,4,8
oils,pre_pruned,test,0.99,0.99,0.9902696985721839,0.9899979161360443,3,5,4,8
oils,post_pruned,test,0.99,0.99,0.9902696985721839,0.9899979161360443,3,5,4,8
oils,baseline,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,9
oils,pre_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,9
oils,post_pruned,test,0.9966666666666667,0.9966666666666667,0.9967213114754098,0.996666435169109,3,5,4,9
chips,baseline,test,0.7,0.7,0.6998765484251538,0.6983708853183554,11,74,70,0
chips,pre_pruned,test,0.6777777777777778,0.6777777777777778,0.6968410208126521,0.6788768708675149,6,26,24,0
chips,post_pruned,test,0.6925925925925925,0.6925925925925925,0.6995385272441568,0.6952659248426153,7,18,15,0
chips,baseline,test,0.6259259259259259,0.6259259259259259,0.629598166539343,0.6267627785058978,11,79,77,1
chips,pre_pruned,test,0.6481481481481481,0.6481481481481481,0.6538064713064714,0.6493315222505011,6,30,29,1
chips,post_pruned,test,0.6444444444444445,0.6444444444444445,0.6590531637529983,0.6456494513504852,7,17,16,1
chips,baseline,test,0.725925925925926,0.725925925925926,0.7274869402343883,0.7258596723261972,11,72,67,2
chips,pre_pruned,test,0.737037037037037,0.737037037037037,0.7401814058956916,0.737074695540893,6,29,28,2
chips,post_pruned,test,0.7296296296296296,0.7296296296296296,0.7297732100142261,0.7283124137371114,6,17,16,2
chips,baseline,test,0.6259259259259259,0.6259259259259259,0.633960025789813,0.6270174102430486,11,79,76,3
chips,pre_pruned,test,0.6259259259259259,0.6259259259259259,0.6308107051867624,0.6279661659581063,6,27,26,3
chips,post_pruned,test,0.6481481481481481,0.6481481481481481,0.6714417344173441,0.650564238066202,7,16,15,3
chips,baseline,test,0.5888888888888889,0.5888888888888889,0.590455643390426,0.5869293790684095,11,77,75,4
chips,pre_pruned,test,0.6185185185185185,0.6185185185185185,0.6261093668236525,0.6155398646660784,6,28,26,4
chips,post_pruned,test,0.6407407407407407,0.6407407407407407,0.643385110657064,0.6416490109423949,8,23,21,4
chips,baseline,test,0.5296296296296297,0.5296296296296297,0.5389162227089838,0.5310161231475672,12,83,78,5
chips,pre_pruned,test,0.5296296296296297,0.5296296296296297,0.5453594312605892,0.534240338146927,6,28,27,5
chips,post_pruned,test,0.5481481481481482,0.5481481481481482,0.5764176777890125,0.5569701793955992,8,19,18,5
chips,baseline,test,0.6037037037037037,0.6037037037037037,0.6026936368427536,0.6019444665456892,11,79,76,6
chips,pre_pruned,test,0.562962962962963,0.562962962962963,0.5981004006326357,0.5672789084874889,6,27,26,6
chips,post_pruned,test,0.5777777777777777,0.5777777777777777,0.592970945338401,0.5802534647996579,6,16,14,6
chips,baseline,test,0.6,0.6,0.5965128205128206,0.5975008275405496,13,78,76,7
chips,pre_pruned,test,0.6259259259259259,0.6259259259259259,0.6332820987446682,0.6274259516890036,6,26,25,7
chips,post_pruned,test,0.6333333333333333,0.6333333333333333,0.6515612836117346,0.6325968106186881,7,17,16,7
chips,baseline,test,0.674074074074074,0.674074074074074,0.6823842592592593,0.6769291812783977,10,62,60,8
chips,pre_pruned,test,0.6666666666666666,0.6666666666666666,0.6754681531414743,0.6634446639502819,6,28,27,8
chips,post_pruned,test,0.6962962962962963,0.6962962962962963,0.707479543603113,0.700801891541478,7,20,19,8
chips,baseline,test,0.6259259259259259,0.6259259259259259,0.6330577243198147,0.628939158939159,12,83,80,9
chips,pre_pruned,test,0.6777777777777778,0.6777777777777778,0.6847799912505795,0.678845617741915,6,28,27,9
chips,post_pruned,test,0.6370370370370371,0.6370370370370371,0.6727343670821933,0.6452631423161912,7,17,16,9
chips_paper_subtracted,baseline,test,0.7851851851851852,0.7851851851851852,0.7825613003822218,0.7831841297860715,9,45,44,0
chips_paper_subtracted,pre_pruned,test,0.7962962962962963,0.7962962962962963,0.7972132095717002,0.796628066335074,6,19,18,0
chips_paper_subtracted,post_pruned,test,0.8,0.8,0.7983638586896107,0.7977395284643899,4,7,6,0
chips_paper_subtracted,baseline,test,0.7703703703703704,0.7703703703703704,0.7693843193843193,0.7668804369263085,10,41,39,1
chips_paper_subtracted,pre_pruned,test,0.737037037037037,0.737037037037037,0.7437272268264367,0.7322779850224104,6,16,15,1
chips_paper_subtracted,post_pruned,test,0.7925925925925926,0.7925925925925926,0.7913387919270272,0.7863337107892803,4,6,5,1
chips_paper_subtracted,baseline,test,0.7518518518518519,0.7518518518518519,0.7705922887612797,0.7560007564702197,10,44,43,2
chips_paper_subtracted,pre_pruned,test,0.762962962962963,0.762962962962963,0.7820761328224016,0.7691975165241521,6,15,14,2
chips_paper_subtracted,post_pruned,test,0.7925925925925926,0.7925925925925926,0.8004394432332985,0.7954423670861498,5,8,7,2
chips_paper_subtracted,baseline,test,0.737037037037037,0.737037037037037,0.7383275058275058,0.7369098090663432,9,44,43,3
chips_paper_subtracted,pre_pruned,test,0.7592592592592593,0.7592592592592593,0.7746015743823735,0.7544837786895483,6,17,16,3
chips_paper_subtracted,post_pruned,test,0.7703703703703704,0.7703703703703704,0.7790523968784838,0.7692154221524596,4,7,6,3
