dataset,ccp_alpha,impurity,tree_depth,leaf_count,node_count,train_accuracy,test_accuracy
oils,0.0,0.0,3,5,9,1.0,1.0
oils,0.19999999999999998,0.6,1,2,3,0.4,0.4
oils,0.20000000000000007,0.8,0,1,1,0.2,0.2
chips,0.0,0.0,11,79,157,1.0,0.6259259259259259
chips,0.0015873015873015873,0.0015873015873015873,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.0015873015873015873,0.0031746031746031746,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.0015873015873015873,0.004761904761904762,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.0015873015873015873,0.006349206349206349,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.0015873015873015873,0.009523809523809525,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.0015873015873015873,0.011111111111111112,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.0015873015873015873,0.012698412698412698,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.0015873015873015873,0.014285714285714285,11,70,139,0.9857142857142858,0.6222222222222222
chips,0.002116402116402116,0.0164021164021164,10,66,131,0.9793650793650793,0.6222222222222222
chips,0.002116402116402116,0.018518518518518517,10,66,131,0.9793650793650793,0.6222222222222222
chips,0.002116402116402116,0.020634920634920634,10,66,131,0.9793650793650793,0.6222222222222222
chips,0.002116402116402116,0.02275132275132275,10,66,131,0.9793650793650793,0.6222222222222222
chips,0.0023809523809523807,0.02513227513227513,10,64,127,0.9761904761904762,0.6222222222222222
chips,0.0023809523809523807,0.02751322751322751,10,64,127,0.9761904761904762,0.6222222222222222
chips,0.002380952380952381,0.02989417989417989,10,63,125,0.9746031746031746,0.6185185185185185
chips,0.0025396825396825392,0.032433862433862426,10,62,123,0.973015873015873,0.6185185185185185
chips,0.002777777777777778,0.0352116402116402,10,60,119,0.9698412698412698,0.6185185185185185
chips,0.002777777777777778,0.037989417989417976,10,60,119,0.9698412698412698,0.6185185185185185
chips,0.002821869488536155,0.04081128747795413,10,59,117,0.9682539682539683,0.6259259259259259
chips,0.0029100529100529095,0.04372134038800704,10,58,115,0.9650793650793651,0.6296296296296297
chips,0.002987861811391224,0.04670920219939827,10,57,113,0.9634920634920635,0.6259259259259259
chips,0.003047619047619047,0.049756821247017316,10,56,111,0.9619047619047619,0.6296296296296297
chips,0.0030895691609977307,0.055935959569012775,10,54,107,0.9587301587301588,0.6222222222222222
chips,0.0036281179138321993,0.05956407748284497,10,53,105,0.9571428571428572,0.6222222222222222
chips,0.0037037037037037047,0.06326778118654867,10,52,103,0.953968253968254,0.6222222222222222
chips,0.0037414965986394553,0.06700927778518813,10,51,101,0.9507936507936507,0.6222222222222222
chips,0.0038095238095238095,0.07081880159471193,10,49,97,0.9444444444444444,0.6185185185185185
chips,0.0038095238095238095,0.07462832540423574,10,49,97,0.9444444444444444,0.6185185185185185
chips,0.004029304029304029,0.07865762943353977,10,48,95,0.9428571428571428,0.6185185185185185
chips,0.004232804232804233,0.082890433666344,10,47,93,0.9396825396825397,0.6185185185185185
chips,0.004232804232804234,0.08712323789914822,10,46,91,0.9380952380952381,0.6148148148148148
chips,0.004329892876690913,0.09145313077583914,10,45,89,0.9365079365079365,0.6148148148148148
chips,0.004347826086956521,0.09580095686279566,10,44,87,0.9349206349206349,0.6074074074074074
chips,0.004634920634920638,0.10043587749771629,9,43,85,0.9333333333333333,0.6074074074074074
chips,0.004761904761904762,0.10519778225962105,9,42,83,0.9285714285714286,0.6037037037037037
chips,0.005291005291005292,0.11048878755062634,9,41,81,0.9253968253968254,0.6
chips,0.005820105820105818,0.11630889337073216,9,40,79,0.9222222222222223,0.6
chips,0.0060468631897203345,0.1223557565604525,9,39,77,0.919047619047619,0.6037037037037037
chips,0.006060606060606064,0.12841636262105857,9,38,75,0.9158730158730158,0.6074074074074074
chips,0.006232707150138339,0.13464906977119692,9,37,73,0.9126984126984127,0.6074074074074074
chips,0.0063693625598387465,0.14101843233103567,9,36,71,0.9095238095238095,0.6111111111111112
chips,0.0065465139642354765,0.14756494629527114,9,35,69,0.9063492063492063,0.6148148148148148
chips,0.006666666666666668,0.15423161296193783,9,34,67,0.9,0.6148148148148148
chips,0.006698063840920984,0.1609296768028588,9,33,65,0.8952380952380953,0.6111111111111112
chips,0.0067157974300831435,0.16764547423294193,9,32,63,0.8888888888888888,0.6111111111111112
chips,0.007141005487989863,0.1747864797209318,9,31,61,0.8873015873015873,0.6111111111111112
chips,0.007558578987150415,0.18234505870808224,9,30,59,0.8825396825396825,0.6037037037037037
